timestamp,time_s,C_air,obs_z005,obs_z020,obs_z035,obs_z050,sim_z005,sim_z020,sim_z035,sim_z050,C_surface_ppm,J_up_Robin_umol
2024-07-20 03:45:00,94500.0000,414.8546,5042.3746,6784.2671,7127.8067,7109.6122,5303.2811,6346.6311,6796.6793,7063.0545,4389.8761,1.6258
2024-07-20 04:00:00,95400.0000,415.0801,4965.6147,6855.1138,6961.3189,7293.6056,5304.8759,6349.3181,6800.7401,7068.9321,4391.0980,1.6262
2024-07-20 04:15:00,96300.0000,415.6693,4971.3851,6768.9954,6968.3814,6862.9051,5306.5116,6352.0328,6804.8211,7074.8072,4392.4269,1.6265
2024-07-20 04:30:00,97200.0000,415.3290,5053.0982,6817.3248,7032.6766,6945.2185,5308.1893,6354.7744,6808.9212,7080.6793,4393.7167,1.6272
2024-07-20 04:45:00,98100.0000,415.7468,5105.5984,6804.3694,7036.9525,6980.9053,5309.8854,6357.5430,6813.0393,7086.5481,4395.0332,1.6275
2024-07-20 05:00:00,99000.0000,414.7399,5017.1675,6742.5332,7069.5215,6927.6537,5311.5892,6360.3382,6817.1745,7092.4129,4396.2692,1.6284
2024-07-20 05:15:00,99900.0000,415.3785,5021.8983,6844.6272,6999.6272,7020.0026,5313.2952,6363.1578,6821.3259,7098.2735,4397.5592,1.6287
2024-07-20 05:30:00,100800.0000,414.9930,5014.7241,6830.4173,6913.2129,6885.6937,5315.0241,6365.9992,6825.4927,7104.1295,4398.9043,1.6294
2024-07-20 05:45:00,101700.0000,414.2118,5131.6327,6751.6365,6985.5763,7036.8530,5316.7602,6368.8607,6829.6741,7109.9804,4400.0997,1.6302
2024-07-20 06:00:00,102600.0000,415.7390,5151.8756,6807.7081,6953.2938,7118.1409,5318.5083,6371.7410,6833.8688,7115.8258,4401.5599,1.6302
2024-07-20 06:15:00,103500.0000,415.9282,4920.1113,6774.8275,7145.3563,6977.6544,5320.3292,6374.6397,6838.0760,7121.6655,4403.0886,1.6307
2024-07-20 06:30:00,104400.0000,415.6263,4964.8386,6822.0052,7025.6962,7122.5061,5322.1867,6377.5580,6842.2947,7127.4989,4404.4871,1.6314
2024-07-20 06:45:00,105300.0000,414.4958,5015.7930,6875.6404,7063.9046,7149.3294,5324.0126,6380.4974,6846.5242,7133.3259,4405.7578,1.6324
2024-07-20 07:00:00,106200.0000,414.3626,5059.9257,6918.5235,6972.9250,6983.6180,5325.8081,6383.4559,6850.7639,7139.1460,4407.0332,1.6330
2024-07-20 07:15:00,107100.0000,414.9138,4945.8901,6764.4578,6912.6955,6958.1899,5327.6188,6386.4282,6855.0133,7144.9589,4408.4778,1.6334
2024-07-20 07:30:00,108000.0000,414.7319,5046.4509,6892.6262,7048.2125,7138.5457,5329.4727,6389.4118,6859.2716,7150.7643,4409.9104,1.6340
2024-07-20 07:45:00,108900.0000,414.5265,5046.9467,6850.9187,7086.1770,6886.6761,5331.3395,6392.4075,6863.5379,7156.5618,4411.3061,1.6347
2024-07-20 08:00:00,109800.0000,415.2342,4986.4216,6772.0684,7110.8990,6967.4556,5333.2209,6395.4166,6867.8111,7162.3513,4412.8164,1.6350
2024-07-20 08:15:00,110700.0000,414.2102,5059.4718,6779.2654,6919.7386,6804.8200,5335.1229,6398.4389,6872.0906,7168.1324,4414.2206,1.6360
2024-07-20 08:30:00,111600.0000,414.8791,5008.4663,6797.2315,6958.6753,7077.8927,5337.0214,6401.4737,6876.3757,7173.9047,4415.6683,1.6363
2024-07-20 08:45:00,112500.0000,414.6557,4843.1051,6790.5496,6797.9238,7056.7857,5338.9370,6404.5202,6880.6661,7179.6682,4417.1830,1.6370
2024-07-20 09:00:00,113400.0000,416.0943,5083.1870,6878.5277,6959.4992,7127.4383,5340.8974,6407.5778,6884.9611,7185.4223,4418.8139,1.6371
2024-07-20 09:15:00,114300.0000,415.7983,5008.1129,6702.7661,6829.7398,7168.3475,5342.9021,6410.6476,6889.2603,7191.1669,4420.4543,1.6379
2024-07-20 09:30:00,115200.0000,415.1866,5048.5123,6940.7747,6906.0987,7056.0074,5344.9045,6413.7313,6893.5633,7196.9018,4421.8926,1.6387
2024-07-20 09:45:00,116100.0000,415.4328,5012.9231,6796.0376,7054.7832,6975.7171,5346.8786,6416.8286,6897.8697,7202.6267,4423.4195,1.6393
2024-07-20 10:00:00,117000.0000,416.4564,5133.6740,6793.5602,6952.4266,6910.6362,5348.8824,6419.9367,6902.1796,7208.3415,4425.0877,1.6395
2024-07-20 10:15:00,117900.0000,414.1790,5095.0621,6799.0402,7198.4484,7059.0893,5350.8933,6423.0533,6906.4925,7214.0459,4426.4711,1.6410
2024-07-20 10:30:00,118800.0000,416.0331,5094.8276,6793.2598,7100.5988,7090.4397,5352.8697,6426.1780,6910.8080,7219.7398,4428.0137,1.6409
2024-07-20 10:45:00,119700.0000,414.9482,5023.0336,6759.5997,7064.8573,6999.6702,5354.8711,6429.3092,6915.1255,7225.4231,4429.6085,1.6420
2024-07-20 11:00:00,120600.0000,416.5178,5040.4808,6753.4024,7090.7987,7121.3938,5356.9058,6432.4455,6919.4444,7231.0957,4431.2240,1.6420
2024-07-20 11:15:00,121500.0000,414.1823,4918.4852,6904.6367,7011.8939,7035.8323,5358.9314,6435.5878,6923.7642,7236.7573,4432.6937,1.6436
2024-07-20 11:30:00,122400.0000,415.0190,5077.6376,6756.7193,6997.8949,6919.8035,5360.9206,6438.7362,6928.0843,7242.4079,4434.0995,1.6438
